acapproject	eligible	date	day	month	year	pplid	pplname	latitude	longitude	distid	distname	provid	provname	altitude	population	logpop	logelev	langcode	language	pashto	neighbors	cdcfamilies	cdcprojects	cdcpercapita	killed	wounded	combined	killeddum	woundeddum	property	incidenttype	airstrike	cfmilop	crossfire	milop	sb	ied	accident	eof	indirect	cfindirect	isafinit	isafresp	talibresp	pre7a	preied7a	post7a	postied7a	preisaf7a	diff7a	diffied7a	pre7b	preied7b	post7b	postied7b	diff7b	diffied7b	pre7c	preied7c	post7c	postied7c	diff7c	diffied7c	pre30a	preied30a	post30a	postied30a	preisaf30a	diff30a	diffied30a	pre30b	preied30b	post30b	postied30b	diff30b	diffied30b	pre30c	preied30c	post30c	postied30c	diff30c	diffied30c	pre90a	preied90a	post90a	postied90a	preisaf90a	diff90a	diffied90a	pre90b	preied90b	post90b	postied90b	diff90b	diffied90b	pre90c	preied90c	post90c	postied90c	diff90c	diffied90c	pre180a	preied180a	post180a	postied180a	preisaf180a	diff180a	diffied180a	pre180b	preied180b	post180b	postied180b	diff180b	diffied180b	pre180c	preied180c	post180c	postied180c	diff180c	diffied180c	pre365a	preied365a	post365a	postied365a	preisaf365a	diff365a	diffied365a	pre365b	preied365b	post365b	postied365b	diff365b	diffied365b	pre365c	preied365c	post365c	postied365c	diff365c	diffied365c	pre730a	preied730a	post730a	postied730a	preisaf730a	diff730a	diffied730a	pre730b	preied730b	post730b	postied730b	diff730b	diffied730b	pre730c	preied730c	post730c	postied730c	diff730c	diffied730c	kabul	pakistan	dcdistkm	basedistkm	km3bases	km5bases	km10bases	fightingseason	dateofincident	incidentmonth	incidentday	incidentyear	rightcensor730sigact	rightcensor730immap	rightcensor365immap	dum2011	dum2012	dum2013	qtr42011	qtr12012	qtr22012	qtr32012	qtr42012	qtr12013	qtr22013	qtr32013	valueia	beneficiaries	aidamount	casualties	totalharm	logneighbors	logdisttobase	logdcdistkm	logroadkm	logaidamount	logcdcpercapita	logbeneficiaries	logvalueia	pre7aplacebo	preisaf7aplacebo	preied7aplacebo	post7aplacebo	postied7aplacebo	diff7aplacebo	pre90aplacebo	preisaf90aplacebo	preied90aplacebo	post90aplacebo	postied90aplacebo	diff90aplacebo	pre180aplacebo	preisaf180aplacebo	preied180aplacebo	post180aplacebo	postied180aplacebo	diff180aplacebo	pre365aplacebo	preisaf365aplacebo	preied365aplacebo	post365aplacebo	postied365placebo	diff365aplacebo	pqtr42008	pqtr12009	pqtr22009	pqtr32009	pqtr42009	pqtr12010	pqtr22010	pqtr32010	incidentlocationrc	rc	north	south	southwest	west	kunar	helmand	kandahar	khost	logar	east	pre7aid	preisaf7aid	preied7aid	post7aid	postied7aid	pre90aid	preisaf90aid	preied90aid	post90aid	postied90aid	pre180aid	preisaf180aid	preied180aid	post180aid	postied180aid	pre365aid	preisaf365aid	preied365aid	post365aid	postied365aid	pre7bid	preied7bid	post7bid	postied7bid	pre90bid	preied90bid	post90bid	postied90bid	pre180bid	preied180bid	post180bid	postied180bid	pre365bid	preied365bid	post365bid	postied365bid	pre7cid	preied7cid	post7cid	postied7cid	pre90cid	preied90cid	post90cid	postied90cid	pre180cid	preied180cid	post180cid	postied180cid	pre365cid	preied365cid	post365cid	postied365cid	timesaid	pre7bplacebo	preisaf7bplacebo	preied7bplacebo	post7bplacebo	postied7bplacebo	pre90bplacebo	preisaf90bplacebo3	preied90bplacebo	post90bplacebo	postied90bplacebo	pre180bplacebo	preisaf180bplacebo	preied180bplacebo	post180bplacebo	postied180bplacebo3	pre365bplacebo	preisaf365bplacebo	preied365bplacebo	post365bplacebo	postied365bplacebo	pre7cplacebo	preisaf7cplacebo	preied7cplacebo	post7cplacebo	postied7cplacebo	pre90cplacebo	preisaf90cplacebo	preied90cplacebo	post90cplacebo	postied90cplacebo	pre180cplacebo	preied180cplacebo	pre365cplacebo	preied365cplacebo
623	0	"12/24/12"	24	12	2012	35099	"BAKWA"	32.2393	62.9457	2102	"Bakwa"	21	"Farah"	724	250	5.521461	6.584791	2	"Pashto"	1	7	0	0	0.0	3	0	3	1	0	1	"IED"	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	-1	-1	0	0	3	2	3	2	0	0	1	1	1	1	2	1	1	0	0	-1	-1	0	0	6	5	6	5	1	1	1	1	0	0	9	3	4	0	0	-5	-3	1	1	6	5	5	4	3	3	1	1	-2	-2	13	5	9	2	2	-4	-3	7	4	9	6	2	2	3	3	2	2	-1	-1	26	5	25	4	2	-1	-1	11	5	0	6	-11	1	3	3	2	2	-1	-1	0	0	0.801	349	1	1	1	0	"12/24/12"	12	24	2012	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0.0	0	0.0	1.10194	1.3862944	1.9473377	5.8551006	-0.20948723	-4.6051702	-4.6051702	-4.6051702			0	0	0	0	0	0.0	1	0	0	1	0	0.0	5	2	2	4	1	-1.0	15	2	4	18	1	3.0	0	0	0	0	0	1	0	0	"West"	5.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	2	0	1	1	0	9	0	3	4	0	13	2	5	9	2	0	0	0	0	0	0	6	5	1	1	6	5	7	4	9	6	0	0	0	0	1	1	1	1	3	3	1	1	3	3	2	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	1	7	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0
624	0	"3/10/13"	10	3	2013	35100	"BALA BULUK"	32.7453	62.5589	2105	"Bala Buluk"	21	"Farah"	841	1043	6.949856	6.734591	2	"Pashto"	1	5	0	0	0.0	2	2	4	1	1	1	"IED"	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	4	0	1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	8	1	11	0	1	3	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.779	3953	0	3	3	0	"3/10/13"	3	10	2013	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0.0	0	0.0	1.3887912	1.609438	1.6114359	8.282232	2.8785803	5.3359985	-4.6051702	-4.6051702			0	0	0	0	0	0.0	0	0	0	0	0	0.0	0	0	0	0	0	0.0	0	0	0	0	0	0.0	0	1	0	0	0	0	0	0	"West"	5.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	1	0	0	0	0	3	1	0	3	0	5	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	3	0	3	5	0	0	0	0	0	0	2	0	0	0	0	2	0	3	0
625	0	"3/6/13"	6	3	2013	117	"AB SORAKH"	32.5035	62.0584	2111	"Pusht Rod"	21	"Farah"	659	1248	7.129298	6.490724	2	"Pashto"	1	16	191	4	202.7906	1	0	1	1	0	0	"Airstrike"	1	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	1	0	1	0	0	0	2	0	2	0	0	0	0	0	0	0	3	2	2	1	0	-1	-1	0	0	2	0	2	0	0	0	0	0	0	0	4	3	3	1	0	-1	-2	1	0	3	0	2	0	0	0	0	0	0	0	20	5	25	2	0	5	-3	1	0	0	0	-1	0	0	0	0	0	0	0	0	0	7.052	9545	0	0	1	0	"3/6/13"	3	6	2013	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0.0	0	0.0	0.0099503305	0.0	2.7732136	9.163774	1.9547282	-4.6051702	-4.6051702	5.3122234			0	0	0	0	0	0.0	0	0	0	2	0	2.0	4	0	0	2	0	-2.0	4	0	0	6	0	2.0	0	0	0	1	0	0	0	0	"West"	5.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0	1	0	0	1	0	1	2	1	3	0	2	2	1	4	0	3	3	1	0	0	0	0	0	0	2	0	0	0	2	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	3	0	0	1	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
626	0	"5/5/13"	5	5	2013	35586	"QARYEH-YE KHARI"	32.773	62.164	2106	"Khaki Safed"	21	"Farah"	775	50	3.912023	6.652863	1	"Pashto"	1	0	172	2	77.73256	7	5	12	1	1	1	"IED"	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	10	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	10	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.089	17070	0	0	0	1	"5/5/13"	5	5	2013	1	1	1	0	0	1	0	0	0	0	0	0	1	0	0.0	0	0.0	2.4857397	2.5649493	-4.6051702	9.745078	2.83902	-4.6051702	-4.6051702	4.3534026			0	0	0	0	0	0.0	0	0	0	0	0	0.0	0	0	0	0	0	0.0	0	0	0	0	0	0.0	0	0	0	1	0	0	0	0	"West"	5.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
627	0	"5/27/13"	27	5	2013	9780	"GERANI"	32.6275	62.4338	2105	"Bala Buluk"	21	"Farah"	744	3350	8.116715	6.612041	2	"Pashto"	1	7	0	0	0.0	0	4	4	0	1	0	"CF Military Operation"	0	1	0	0	0	0	0	0	0	0	1	1	0	2	0	0	0	0	-2	0	1	0	0	0	-1	0	0	0	0	0	0	0	5	0	8	0	0	3	0	1	0	0	0	-1	0	0	0	0	0	0	0	11	0	15	1	0	4	1	1	0	3	0	2	0	0	0	0	0	0	0	17	0	22	1	0	5	1	2	0	6	0	4	0	0	0	0	0	0	0	24	3	29	1	0	5	-2	2	0	10	0	8	0	1	0	1	0	0	0	29	5	56	1	0	27	-4	2	0	0	0	-2	0	1	0	1	0	0	0	0	0	4.457	7378	0	0	2	1	"5/27/13"	5	27	2013	1	1	1	0	0	1	0	0	0	0	0	0	1	0	0.0	0	0.0	1.3887912	1.3862944	1.9473377	8.90626	1.496717	5.3359985	-4.6051702	-4.6051702			0	0	0	0	0	0.0	1	0	1	0	0	-1.0	1	0	1	1	0	0.0	1	0	1	3	2	2.0	0	0	0	0	0	1	0	0	"West"	5.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0	0	0	0	11	0	0	15	1	17	0	0	22	1	24	0	3	29	1	1	0	0	0	1	0	3	0	2	0	6	0	2	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
628	0	"5/23/13"	23	5	2013	35394	"QALA-E-KAH"	32.2951	61.5121	2108	"Qala Ka"	21	"Farah"	619	1341	7.201171	6.428105	1	"Dari"	0	9	51	3	201.5294	0	0	0	0	0	1	"Crossfire"	0	0	1	0	0	0	0	0	0	0	0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	2	2	1	2	0	0	0	0	0	0	1	1	3	1	0	2	0	2	0	4	2	2	2	0	0	0	0	0	0	1	1	4	2	0	3	1	2	0	7	3	5	3	0	0	0	0	0	0	1	1	4	2	0	3	1	5	2	10	3	5	1	0	0	1	1	1	1	1	1	4	2	0	3	1	6	2	0	3	-6	1	0	0	1	1	1	1	0	0	1.603	1013	1	1	2	1	"5/23/13"	5	23	2013	1	1	1	0	0	1	0	0	0	0	0	0	1	0	0.0	0	0.0	-4.6051702	0.0	2.1983352	6.9206815	0.47809583	-4.6051702	-4.6051702	5.305985			0	0	0	0	0	0.0	0	0	0	0	0	0.0	0	0	0	0	0	0.0	0	0	0	0	0	0.0	1	0	0	0	0	0	0	0	"West"	5.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	1	0	1	3	1	1	0	1	4	2	1	0	1	4	2	0	0	0	0	2	0	4	2	2	0	7	3	5	2	10	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
629	0	"6/4/13"	4	6	2013	35311	"LASH-E-JUWAYN"	31.7195	61.6262	2109	"Lash Wa Juwayn"	21	"Farah"	511	596	6.390241	6.23637	1	"Dari"	0	15	0	0	0.0	4	2	6	1	1	1	"IED"	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	-2	-1	0	0	0	0	0	0	0	0	0.53	225	1	1	1	1	"6/4/13"	6	4	2013	1	1	1	0	0	1	0	0	0	0	0	0	1	0	0.0	0	0.0	1.7934247	1.9459101	2.7087166	5.416145	-0.6161862	-4.6051702	-4.6051702	-4.6051702			0	0	0	0	0	0.0	0	0	0	0	0	0.0	0	0	0	0	0	0.0	0	0	0	0	0	0.0	1	0	0	0	0	0	0	0	"West"	5.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
630	0	"8/10/13"	10	8	2013	35100	"BALA BULUK"	32.7453	62.5589	2105	"Bala Buluk"	21	"Farah"	841	1043	6.949856	6.734591	2	"Pashto"	1	5	0	0	0.0	5	0	5	1	0	1	"IED"	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	3	0	1	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	10	1	9	0	1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.779	3953	0	3	3	1	"8/10/13"	8	10	2013	1	1	1	0	0	1	0	0	0	0	0	0	0	1	0.0	0	0.0	1.6114359	1.7917595	1.6114359	8.282232	2.8785803	5.3359985	-4.6051702	-4.6051702			0	0	0	0	0	0.0	0	0	0	0	0	0.0	0	0	0	0	0	0.0	0	0	0	0	0	0.0	1	0	0	0	0	0	0	0	"West"	5.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0	0	1	0	2	0	0	1	0	2	0	0	1	0	5	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
631	0	"8/22/13"	22	8	2013	35185	"FARAH"	32.3842	62.1227	2101	"Farah"	21	"Farah"	655	30200	10.3156	6.484635	2	"Pashto"	1	23	0	0	0.0	1	15	16	1	1	0	"Suicide bombing"	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	3	3	0	3	3	1	0	0	0	-1	0	0	0	0	0	0	0	6	0	7	5	0	1	5	4	0	1	0	-3	0	0	0	0	0	0	0	31	4	12	5	1	-19	1	7	0	1	0	-6	0	0	0	0	0	0	0	64	5	21	6	1	-43	1	7	0	4	0	-3	0	1	1	0	0	-1	-1	74	5	31	6	1	-43	1	12	1	7	0	-5	-1	2	2	1	0	-1	-2	102	9	36	7	1	-66	-2	26	3	0	0	-26	-3	4	2	1	0	-3	-2	0	0	1.562	1107	1	2	2	1	"8/22/13"	8	22	2013	1	1	1	0	0	1	0	0	0	0	0	0	0	1	0.0	0	0.0	2.7732136	2.7725887	3.1359289	7.009418	0.4523487	3.402197	-4.6051702	-4.6051702			1	0	0	0	0	-1.0	3	0	0	1	0	-2.0	4	0	0	2	1	-2.0	5	0	0	10	6	5.0	0	0	0	0	0	1	0	0	"West"	5.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	3	3	31	1	4	12	5	64	1	5	21	6	74	1	5	31	6	1	0	0	0	7	0	1	0	7	0	4	0	12	1	7	0	0	0	0	0	0	0	0	0	1	1	0	0	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	3	0	0	2	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0
632	0	"10/14/11"	14	10	2011	35328	"MAYMANA"	35.9204	64.7838	1801	"Maymana"	18	"Faryab"	872	67800	11.12432	6.77079	3	"Uzbek"	0	12	0	0	0.0	13	0	13	1	0	0	"CF Military Operation"	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	1	1	0	0	1	0	0	2	0	2	0	0	0	0	0	0	0	1	0	1	1	0	0	1	0	0	2	2	2	2	0	0	0	0	0	0	2	0	2	1	0	0	1	1	0	2	2	1	2	0	0	0	0	0	0	5	0	3	2	0	-2	2	3	0	3	3	0	3	0	0	0	0	0	0	8	0	13	3	1	5	3	3	0	8	3	5	3	0	0	4	1	4	1	13	2	24	4	1	11	2	5	0	0	3	-5	3	0	0	5	2	5	2	0	0	0.06	681	11	12	12	0	"10/14/11"	10	14	2011	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0.0	0	0.0	2.5657182	2.5649493	2.4857397	6.523577	-2.65926	3.176803	-4.6051702	-4.6051702			0	0	0	1	1	1.0	3	0	2	3	3	0.0	3	0	2	3	3	0.0	3	0	2	6	3	3.0	0	0	0	1	0	0	0	0	"North"	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0	0	1	1	2	0	0	2	1	5	0	0	3	2	8	1	0	13	3	0	0	2	2	1	0	2	2	3	0	3	3	3	0	8	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	2	0	1	0	0	3	0	3	0	0	5	0	0	0	0	0	0	2	0	0	0	0	2	0	2	0
633	0	"10/16/11"	16	10	2011	35328	"MAYMANA"	35.9204	64.7838	1801	"Maymana"	18	"Faryab"	872	67800	11.12432	6.77079	3	"Uzbek"	0	12	0	0	0.0	0	1	1	0	1	0	"CF Military Operation"	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	1	1	0	0	1	0	0	2	0	2	0	0	0	0	0	0	0	1	0	1	1	0	0	1	0	0	2	2	2	2	0	0	0	0	0	0	2	0	2	1	0	0	1	1	0	2	2	1	2	0	0	0	0	0	0	5	0	4	2	0	-1	2	3	0	3	3	0	3	0	0	0	0	0	0	8	0	13	3	1	5	3	3	0	8	3	5	3	0	0	4	1	4	1	12	1	24	4	1	12	3	5	0	0	3	-5	3	0	0	5	2	5	2	0	0	0.06	681	11	12	12	0	"10/16/11"	10	16	2011	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0.0	0	0.0	0.0099503305	0.0	2.4857397	6.523577	-2.65926	3.176803	-4.6051702	-4.6051702			1	0	0	0	0	-1.0	2	0	0	1	0	-1.0	2	0	0	4	0	2.0	8	0	5	6	0	-2.0	0	0	0	0	0	0	1	0	"North"	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0	0	1	1	2	0	0	2	1	5	0	0	4	2	8	1	0	13	3	0	0	2	2	1	0	2	2	3	0	3	3	3	0	8	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	2	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
634	0	"3/25/12"	25	3	2012	35198	"GHORMACH"	35.7236	63.7857	1905	"Ghormach"	19	"Badghis"	667	2384	7.776535	6.50279	2	"Pashto"	1	18	0	0	0.0	1	0	1	1	0	0	"CF Military Operation"	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	-1	-1	1	0	1	0	0	0	0	0	0	0	0	0	3	1	4	2	1	1	1	1	0	7	2	6	2	0	0	1	0	1	0	4	1	8	4	1	4	3	3	1	31	4	28	3	0	0	1	0	1	0	17	4	19	5	4	2	1	14	2	71	4	57	2	0	0	2	0	2	0	36	9	35	8	5	-1	-1	34	6	0	10	-34	4	2	0	3	0	1	0	0	0	0.382	904	4	4	5	0	"3/25/12"	3	25	2012	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0.0	0	0.0	0.0099503305	0.0	2.890927	6.8068404	-0.93649346	3.9632862	-4.6051702	-4.6051702			0	0	0	0	0	0.0	1	0	0	4	0	3.0	3	0	1	6	0	3.0	3	0	1	7	0	4.0	0	0	1	0	0	0	0	0	"North"	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	3	1	1	4	2	4	1	1	8	4	17	4	4	19	5	0	0	1	0	1	0	7	2	3	1	31	4	14	2	71	4	0	0	0	0	0	0	1	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	1	0	1	0	0	2	0	1	0	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
635	0	"6/6/12"	6	6	2012	35328	"MAYMANA"	35.9204	64.7838	1801	"Maymana"	18	"Faryab"	872	67800	11.12432	6.77079	3	"Uzbek"	0	12	0	0	0.0	2	8	10	1	1	0	"Suicide bombing"	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	1	0	1	0	0	0	-1	0	0	0	0	0	0	0	4	1	5	0	0	1	-1	3	0	0	0	-3	0	1	0	1	0	0	0	4	1	10	1	0	6	0	4	1	3	0	-1	-1	1	0	3	1	2	1	10	2	16	1	0	6	-1	8	3	5	0	-3	-3	1	0	3	1	2	1	16	2	26	4	1	10	2	10	3	0	1	-10	-2	1	0	5	1	4	1	0	0	0.06	681	11	12	12	1	"6/6/12"	6	6	2012	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0.0	0	0.0	2.3035846	2.3025851	2.4857397	6.523577	-2.65926	3.176803	-4.6051702	-4.6051702			0	0	0	1	0	1.0	1	0	1	5	4	4.0	1	0	1	5	4	4.0	1	0	1	7	4	6.0	0	0	0	1	0	0	0	0	"North"	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	1	0	4	0	1	5	0	4	0	1	10	1	10	0	2	16	1	0	0	0	0	3	0	0	0	4	1	3	0	8	3	5	0	0	0	0	0	1	0	1	0	1	0	3	1	1	0	3	1	0	0	0	0	0	0	2	0	0	0	0	2	0	0	2	0	3	0	0	4	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
636	0	"7/24/12"	24	7	2012	35484	"TAYWARAH"	33.52	64.4228	2705	"Taywara"	27	"Ghor"	2221	1300	7.17012	7.705713	1	"Dari"	0	11	0	0	0.0	7	0	7	1	0	0	"IED"	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	-1	-1	0	0	1	0	1	0	0	0	0	0	0	0	2	1	0	0	0	-2	-1	3	0	2	1	-1	1	1	0	0	0	-1	0	4	1	1	1	0	-3	0	4	1	0	2	-4	1	1	0	1	1	0	1	0	0	22.582	535	1	1	1	1	"7/24/12"	7	24	2012	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0.0	0	0.0	1.9473377	1.9459101	2.398804	6.282285	3.117596	-4.6051702	-4.6051702	-4.6051702			0	0	0	0	0	0.0	1	0	0	0	0	-1.0	1	0	0	0	0	-1.0	1	0	0	0	0	-1.0	0	0	0	1	0	0	0	0	"West"	5.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	2	0	0	0	0	2	0	0	2	0	3	0	0	4	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
637	0	"8/28/12"	28	8	2012	35119	"CHAGHCHARAN"	34.5278	65.2546	2701	"Chaghcharan"	27	"Ghor"	2310	5700	8.648221	7.745003	1	"Dari"	0	2	0	0	0.0	5	4	9	1	1	0	"Airstrike"	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	3	1	0	0	1	0	0	1	0	1	0	0	0	2	1	2	1	5	0	5	1	0	0	1	0	0	3	0	3	0	1	0	2	1	1	1	11	1	14	2	0	3	1	3	1	7	1	4	0	1	0	2	1	1	1	23	3	22	2	0	-1	-1	7	1	0	1	-7	0	1	0	2	1	1	1	0	0	0.438	814	2	2	2	1	"8/28/12"	8	28	2012	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0.0	0	0.0	2.1983352	2.1972246	0.6981347	6.7019725	-0.80296206	-4.6051702	-4.6051702	-4.6051702			0	0	0	0	0	0.0	0	0	0	1	0	1.0	0	0	0	2	0	2.0	2	0	0	13	2	11.0	0	0	0	0	0	0	1	0	"West"	5.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	1	0	3	0	0	3	1	5	0	0	5	1	11	0	1	14	2	0	0	0	0	0	0	1	0	0	0	3	0	3	1	7	1	0	0	0	0	0	0	2	1	1	0	2	1	1	0	2	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	2	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
